Title	FRED Chemgauss4 score
C85074710	P133146096	-8.341980
C88067871	P137751168	-8.340549
C52785703	P79103784	-8.333794
C05517273	P08195376	-8.330877
C12504391	P18375293	-8.328938
C70948079	P109520047	-8.325191
C01532566	P57081967	-8.324124
C87339114	P136639590	-8.323183
C82510254	P128945651	-8.322738
C83693351	P130916066	-8.317771
C54498092	P82014584	-8.317430
C70628574	P108955020	-8.317254
C65742667	P101141789	-8.310030
C38034588	P120930303	-8.309810
C36904451	P54858491	-8.305023
C00344325	P20214856	-8.304893
C84444357	P132149567	-8.304488
C95673041	P150460172	-8.302650
C94464663	P148063757	-8.302490
C69506331	P106964096	-8.300838
C82563966	P129028527	-8.297113
C01530418	P120022890	-8.296761
C40729842	P61849313	-8.296133
C97229240	P153967145	-8.295163
C54526015	P82065671	-8.290886
C88474213	P138392897	-8.288296
C86433852	P135331542	-8.283897
C83925146	P131294687	-8.281597
C74189571	P115619256	-8.277827
C41058832	P62326259	-8.275898
C86313331	P135162295	-8.274622
C53134864	P79655074	-8.270566
C61843867	P94755243	-8.269220
C70588816	P108883946	-8.265009
C82515433	P128953608	-8.262586
C86491376	P135426479	-8.252178
C26895734	P39655131	-8.251210
C54435940	P81924864	-8.244248
C35202844	P52236352	-8.243858
C94238416	P147693620	-8.241441
C82263403	P128500246	-8.240234
C71372386	P110391236	-8.233274
C51925824	P77777539	-8.231769
C00162126	P05572008	-8.229348
C85187277	P133297783	-8.226584
C70061876	P108003290	-8.216784
C37810574	P56238309	-8.215197
C62362185	P95703184	-8.211577
C35904583	P53307746	-8.208849
C16951488	P25522321	-8.202091
C54503976	P82019619	-8.197811
C03843087	P04506273	-8.196845
C82924737	P129630013	-8.192484
C82583507	P129059864	-8.191363
C85248400	P133393697	-8.181345
C83804931	P131109815	-8.180658
C39050781	P151023628	-8.180502
C95869841	P150894217	-8.180363
C83918821	P131301165	-8.180291
C52815753	P79155819	-8.176931
C43515613	P65814635	-8.167801
C82399830	P128760099	-8.166782
C86451957	P135357207	-8.165786
C82900115	P129596089	-8.163434
C45059901	P67910381	-8.161346
C72210676	P112179503	-8.158211
C54793127	P82471189	-8.151944
C19258164	P28484676	-8.149776
C50445595	P75433552	-8.149027
C13544124	P57737090	-8.148299
C85619734	P134078263	-8.147320
