Title	FRED Chemgauss4 score
C39058911	P151021703	-6.040027
C88023610	P137670459	-6.039911
C83812008	P131108696	-6.038435
C00895050	P05571510	-6.038416
C05783668	P151021902	-6.035740
C97344605	P154171042	-6.035000
C39094979	P59234636	-6.034520
C04786584	P06903634	-6.034252
C36131303	P53675666	-6.025936
C36872229	P120860510	-6.025313
C92292923	P144481736	-6.020075
C06317442	P09891162	-6.019848
C87732307	P137229475	-6.018911
C70911053	P109452755	-6.017899
C39060929	P59181285	-6.014102
C72313242	P112387662	-6.012240
C38124694	P57326764	-6.006987
C77264475	P120544761	-6.001981
C54460861	P81945512	-5.999889
C94468140	P148078016	-5.998702
C40545676	P61563278	-5.997643
C01843030	P156189276	-5.995939
C54503944	P82019601	-5.995558
C72197386	P112154929	-5.987981
C22061920	P32822128	-5.985384
C82836052	P129489593	-5.982909
C97617862	P154764065	-5.981710
C41047746	P88350758	-5.977880
C36264814	P53889379	-5.973822
C82591648	P129083677	-5.970430
C82838441	P129490404	-5.969490
C87694178	P137171372	-5.966627
C87602094	P137029746	-5.962770
C37321360	P55502532	-5.956880
C16951178	P112299492	-5.952619
C86233004	P145216779	-5.948037
C86453848	P135358716	-5.947437
C87600448	P137027764	-5.945649
C41050725	P62314175	-5.939776
C37730151	P56098300	-5.936431
C05134886	P141865301	-5.935274
C38007993	P120930287	-5.926326
C43444164	P128429507	-5.925777
cmpd10_frontiers2018	P10000039	-5.920190
C36763891	P58578312	-5.912399
C03843087	P04506273	-5.912366
C45626663	P120958679	-5.909910
C54503976	P82019619	-5.909476
C85170204	P133262360	-5.899807
C72344410	P112473852	-5.894935
C19834702	P29491605	-5.894266
C87588455	P137001872	-5.891752
C95673041	P150460172	-5.888349
C72206524	P112174964	-5.881462
C54497644	P82017894	-5.881150
C86576375	P135532690	-5.876064
C83945111	P131322502	-5.874200
C76576824	P119452343	-5.872203
C39059147	P59177984	-5.870727
C59086297	P89572875	-5.870509
C84175605	P131725011	-5.869420
C42040413	P63623377	-5.867860
C95922224	P151021538	-5.865771
C87666342	P137137137	-5.865655
C72200439	P112158916	-5.863211
C69692471	P107338218	-5.862542
C14241055	P21824158	-5.860300
C49691658	P74238157	-5.859820
C70125679	P108093639	-5.856910
C37163577	P55271116	-5.856760
C04293662	P05643503	-5.855476
C69181716	P106379143	-5.852995
C88067605	P137750906	-5.850287
C83947682	P131340967	-5.848917
C05517275	P08195379	-5.836486
C20286247	P30221172	-5.833315
C85170083	P133262211	-5.829515
C86437548	P135333756	-5.822451
C82381623	P128718450	-5.819074
C62939634	P96575290	-5.813915
C36305538	P53957599	-5.810356
C42294727	P63999288	-5.807356
C72200101	P112162253	-5.800861
C55153518	P83084771	-5.800536
