Title	FRED Chemgauss4 score
C92782003	P145256586	-5.681693
C01081240	P08266848	-5.677602
C94090967	P147456094	-5.675685
C94297055	P147797732	-5.670154
C86434269	P135332511	-5.666584
C89190673	P139492299	-5.662047
C49330080	P73697318	-5.661236
C42040894	P63623732	-5.659671
C42920684	P64883579	-5.658115
C37677234	P56041032	-5.656546
C41052378	P62314790	-5.654329
C13887744	P21381985	-5.654101
C05829972	P08722974	-5.652230
C34538857	P89695694	-5.641395
C87343894	P136653808	-5.638872
C89646623	P140145016	-5.628628
C82996710	P129767449	-5.628154
C82882993	P129561702	-5.627671
C13544507	P20855322	-5.626700
C20974560	P101623439	-5.621372
C86525867	P135471773	-5.619917
C87121137	P136358272	-5.619578
C01532676	P04873483	-5.614072
C86433852	P135331542	-5.605452
C04329332	P05730540	-5.599479
C82841439	P129491441	-5.596916
C97734229	P155054892	-5.594867
C54497698	P82017927	-5.594570
C22062005	P32835722	-5.590659
C26895734	P39655131	-5.587976
C43057664	P118380554	-5.585874
C41118879	P62412466	-5.583565
C19258164	P28484676	-5.580484
C39065565	P59186052	-5.578794
C04097150	P05160868	-5.573728
C65150707	P100121503	-5.572974
C85085297	P133149947	-5.567927
C22059796	P32818392	-5.566111
C52945694	P79371735	-5.559299
C88870650	P139021098	-5.556911
C36877036	P54824324	-5.554963
C33505934	P90697611	-5.554056
C37996101	P57098702	-5.552955
C85248143	P133396850	-5.551759
C84405759	P132074113	-5.550798
C97591095	P154659382	-5.548609
C05157121	P07617928	-5.546860
C97104505	P153724932	-5.542182
C87195299	P148450313	-5.541522
C82774730	P129384350	-5.540109
C63065286	P128791481	-5.538651
C52785703	P79103784	-5.537329
C86072807	P134778184	-5.534952
C39223588	P59428200	-5.534295
C49714843	P74276194	-5.526968
C63065426	P96833787	-5.525908
C00330427	P23897779	-5.521055
C94230257	P147684548	-5.517824
C96331765	P151982429	-5.515692
C84444287	P132137690	-5.513165
C84081050	P131584458	-5.508621
C05517273	P08195376	-5.507154
C22059726	P32818286	-5.506664
C85169335	P133261678	-5.498443
C45084447	P128457551	-5.498106
C87548480	P136945367	-5.497478
C86136121	P134894996	-5.496155
